area_id,area_name,city,area_type,locality_type,pincode,retail_shops,restaurants,banks_atms,medical_facilities,educational_centers,parking_lots,vacant_shops,pedestrian_count_15min,vehicle_count_15min,footfall_intensity,road_condition,street_lighting,cleanliness,avg_daily_customers,avg_transaction_value,monthly_rent,business_growth,property_price_sqft,residential_rent_1bhk,property_trend,google_rating,google_reviews_count,zomato_restaurants,population_estimate,last_survey_date,competition_level,parking_availability,main_issue,news_mentions_6months
AREA_001,Sector 17 Market,Patiala,Urban,Commercial,143684,43,27,10,5,4,3,3,275,149,High,5,5,4,130,1324,31848,Growing,6245,19108,Falling,4.5,670,27,37039,2025-01-05,High,Easy,Poor infrastructure,13
AREA_002,Sector 22,Chandigarh,Semi-Urban,Mixed,141220,25,13,7,5,1,0,4,116,51,Medium,3,3,3,76,763,16898,Growing,4807,10138,Falling,4.1,1453,13,33023,2025-01-23,Low,Easy,High rent,9
AREA_003,Sector 35,Patiala,Urban,Commercial,,,,,4,3,,NA,,177,,6,5,,,,,,,,Falling,,,,,,Low,,,
AREA_004,Sector 43,Patiala,Urban,Commercial,148023,51,21,12,8,6,4,6,278,104,High,4,4,4,181,1175,40822,Growing,7361,24493,Rising,4.3,2483,21,30350,2025-01-17,High,Moderate,High rent,16
AREA_005,Sector 8,Zirakpur,Urban,Mixed,148450,28,17,10,7,5,3,1,144,67,Medium,5,4,4,78,1388,33258,Growing,6404,19954,Falling,3.4,1897,17,46404,2025-01-07,High,Moderate,High rent,8
AREA_006,Sector 15,Chandigarh,Semi-Urban,Commercial,142246,31,15,4,3,4,0,5,83,57,Medium,4,4,3,55,664,21822,Stable,3576,13093,Rising,3.3,2093,15,18357,2025-01-06,Low,Easy,High rent,13
AREA_007,Sector 26,Ludhiana,Semi-Urban,Mixed,144807,24,14,3,2,2,3,1,66,31,Medium,4,4,3,36,559,13210,Stable,4223,7926,Rising,3.9,287,14,25239,2025-01-17,Low,Difficult,parking shortage,9
AREA_008,Sector 9,Shimla,Semi-Urban,Commercial,140362,21,14,6,4,4,1,2,62,26,Medium,3,3,2,19,813,15331,Declining,4174,9198,Stable,3.6,1906,14,23865,2025-01-01,Low,Easy,High rent,3
AREA_009,Sector 11,Karnal,Rural,Mixed,,,,,1,2,,NA,,21,,6,3,,,,,,,,Rising,,,,,,Low,,,
AREA_010,Sector 19,Zirakpur,Urban,Commercial,147942,48,34,10,7,7,5,5,234,159,High,5,4,4,124,738,46525,Declining,6658,27915,Stable,4.4,1625,34,44616,2025-01-03,Medium,Difficult,High rent,10
AREA_011,Sector 20,Patiala,Urban,Commercial,141480,64,28,10,9,6,3,4,266,87,High,5,4,4,148,885,34819,Growing,6088,20891,Rising,3.9,579,28,45653,2025-01-17,Low,Moderate,parking shortage,11
AREA_012,Sector 34,Ambala,Urban,Commercial,141007,54,32,6,5,4,3,3,206,71,High,4,4,4,90,1363,47849,Declining,7929,28709,Rising,4.6,2422,32,46762,2025-01-20,Low,Difficult,Poor infrastructure,13
AREA_013,Sector 38,Mohali,Urban,Commercial,140790,61,22,11,6,6,2,11,253,135,High,5,5,4,141,667,42774,Declining,7463,25664,Stable,4.7,1907,22,48646,2025-01-16,Low,Easy,Poor infrastructure,7
AREA_014,Sector 40,Panchkula,Semi-Urban,Residential,142749,34,15,9,1,2,2,5,116,75,Medium,3,4,3,49,1059,18034,Declining,4437,10820,Rising,4.2,806,15,28597,2025-01-14,High,Moderate,High rent,
AREA_015,Industrial Area Phase 1,Jalandhar,Semi-Urban,Residential,148705,30,9,3,3,3,1,1,106,36,Medium,4,3,3,66,1462,15531,Growing,4671,9318,Stable,4.0,714,9,17271,2025-01-14,High,Easy,High rent,4
AREA_016,Industrial Area Phase 2,Zirakpur,Rural,Residential,149961,9,2,4,2,4,,0,42,19,Low,3,3,3,28,1407,7586,Declining,2682,4551,Stable,4.3,920,2,10587,2025-01-20,High,,Low footfall,
AREA_017,Manimajra,Karnal,Semi-Urban,Mixed,146471,28,9,4,2,1,0,3,101,54,Medium,3,4,3,64,1188,12017,Declining,3873,7210,Stable,3.5,1390,9,29520,2025-01-05,High,Difficult,parking shortage,7
AREA_018,Raipur Khurd,Solan,Semi-Urban,Residential,144959,30,9,9,4,2,1,5,119,60,Medium,3,4,2,74,750,14580,Declining,3762,8748,Rising,4.0,1417,9,29523,2025-01-20,Low,Moderate,Poor infrastructure,12
AREA_019,Dhanas,Chandigarh,Rural,Mixed,140535,8,6,5,4,1,2,0,20,10,Low,2,3,2,7,1208,5078,Declining,2633,3046,Falling,3.4,1670,6,21032,2025-01-04,Low,Easy,Poor infrastructure,7
AREA_020,IT Park Phase 8,Shimla,Rural,Commercial,143581,9,5,5,3,2,0,1,49,32,Low,2,2,2,21,680,8920,Declining,2576,5352,Falling,4.1,1767,5,6145,2025-01-10,Low,Difficult,High rent,
AREA_021,Phase 3B2,Panchkula,Semi-Urban,Mixed,146672,34,15,9,6,3,1,6,115,39,Medium,3,3,3,47,958,21648,Declining,4006,12988,Stable,4.2,467,15,34053,2025-01-24,Medium,Easy,parking shortage,10
AREA_022,Phase 5,Zirakpur,Semi-Urban,Commercial,141729,29,8,3,1,2,3,3,63,30,Medium,4,3,2,23,1464,18684,Growing,4245,11210,Rising,4.4,475,8,15143,2025-01-26,High,Difficult,High rent,0
AREA_023,Phase 7,Ludhiana,Semi-Urban,Mixed,140583,29,14,2,4,5,,3,91,52,Medium,4,3,2,39,646,15885,Declining,3869,9531,Falling,4.6,1343,14,21108,2025-01-26,Low,,parking shortage,
AREA_024,Phase 9,Chandigarh,Semi-Urban,Commercial,144414,34,12,7,5,2,1,3,110,36,Medium,4,3,3,66,1202,14342,Declining,4132,8605,Rising,3.2,407,12,20555,2025-01-03,Medium,Moderate,parking shortage,3
AREA_025,Phase 10,Solan,Semi-Urban,Commercial,141982,34,15,8,6,3,0,6,70,39,Medium,4,4,3,41,896,19290,Growing,3604,11574,Stable,3.8,1645,15,27190,2025-01-01,Low,Easy,Low footfall,
AREA_026,Phase 11,Shimla,Rural,Mixed,145060,6,3,8,1,2,3,1,48,28,Low,2,2,3,15,857,6366,Declining,2541,3819,Stable,3.5,783,3,7697,2025-01-15,Medium,Moderate,High rent,10
AREA_027,Sector 70,Patiala,Rural,Residential,,,,,1,4,,0shops,,15,Low,,3,,,,,,,,Falling,,,,,,High,,,
AREA_028,Sector 82,Mohali,Urban,Mixed,149629,44,12,,7,6,,5,135,59,Medium,4,4,4,84,,33140,Declining,5910,,Rising,3.5,,,39110,2025-01-15,High,,,
AREA_029,Sector 88,Jalandhar,Rural,Mixed,140135,14,4,5,3,3,0,2,27,18,Low,2,3,2,16,1185,5177,Stable,2931,3106,Rising,3.7,901,4,16081,2025-01-17,Medium,Moderate,Low footfall,2
AREA_030,Kharar Main Market,Chandigarh,Semi-Urban,Mixed,144340,29,11,3,3,2,0,3,68,34,Medium,3,4,2,26,1492,17373,Declining,4088,10423,Falling,4.5,833,11,18381,2025-01-28,High,Easy,parking shortage,11
AREA_031,Kharar Landran Road,Ambala,Semi-Urban,Residential,140350,25,14,4,6,1,3,4,70,24,Medium,3,3,2,26,1120,19766,Declining,3569,11859,Stable,4.3,174,14,18597,2025-01-09,High,Easy,Poor infrastructure,5
AREA_032,Kurali,Mohali,Semi-Urban,Residential,147142,21,11,5,1,3,2,3,67,27,Medium,4,3,3,31,897,15965,Stable,3947,9579,Stable,3.7,1070,11,21528,2025-01-24,High,Moderate,High rent,7
AREA_033,Mullanpur,Panchkula,Semi-Urban,Commercial,143144,30,11,3,4,2,0,4,94,35,Medium,3,3,2,49,1201,20527,Declining,3778,12316,Falling,4.1,114,11,21168,2025-01-08,Low,Easy,parking shortage,5
AREA_034,Nayagaon,Karnal,Rural,Residential,145494,14,3,7,5,1,2,0,49,28,Low,2,3,3,19,841,5179,Stable,2941,3107,Stable,4.1,1331,3,14220,2025-01-07,Medium,Moderate,parking shortage,10
AREA_035,Derabassi,Chandigarh,Semi-Urban,Residential,140750,31,11,8,2,4,2,4,65,41,Medium,4,4,2,41,650,20976,Declining,4758,12585,Stable,3.6,597,11,19304,2025-01-07,Low,Difficult,parking shortage,9
AREA_036,Dera Bassi Industrial,Solan,Semi-Urban,Commercial,141331,31,14,3,5,1,3,3,90,36,Medium,3,3,2,30,1126,13306,Stable,4997,7983,Rising,3.4,1824,14,32520,2025-01-14,Medium,Difficult,High rent,12
AREA_037,Landran College Area,Chandigarh,Urban,Commercial,141262,57,29,10,9,6,5,5,251,163,High,4,4,4,153,671,30664,Stable,7400,18398,Falling,4.4,2485,29,30935,2025-01-25,High,Difficult,Poor infrastructure,14
AREA_038,Banur,Jalandhar,Semi-Urban,Residential,148704,24,10,3,1,4,0,1,96,35,Medium,4,4,3,56,987,12139,Declining,4935,7283,Falling,3.8,546,10,31476,2025-01-02,Low,Easy,Poor infrastructure,6
AREA_039,Lalru,Ambala,Rural,Residential,,,,,4,1,,NA,,22,,6,3,,,,,,,,Rising,,,,,,Low,,,
AREA_040,Gharuan,Mohali,Urban,Residential,148664,5,2,6,4,4,5,0,21,9,Medium,5,4,3,14,1443,9703,Declining,2027,5821,Falling,4.4,1680,2,49439,2025-01-18,Medium,Moderate,Low footfall,18
AREA_041,Morinda,Zirakpur,Urban,Mixed,149108,41,20,6,7,4,3,5,197,124,Medium,4,4,4,95,607,26805,Growing,5321,16083,Rising,3.7,904,20,33519,2025-01-26,Low,Easy,Poor infrastructure,13
AREA_042,Airport Road,Patiala,Semi-Urban,Mixed,143444,28,13,6,5,4,0,2,104,58,Medium,3,3,2,35,890,12458,Growing,3844,7474,Rising,4.0,350,13,19002,2025-01-02,Low,Easy,Low footfall,8
AREA_043,Sector 5,Panchkula,Semi-Urban,Residential,146029,24,9,5,1,2,3,1,68,41,Medium,4,3,2,45,729,18675,Growing,3500,11205,Rising,3.6,484,9,15781,2025-01-22,High,Easy,Low footfall,13
AREA_044,Sector 9,Patiala,Urban,Commercial,146293,47,31,,4,7,,6,261,114,High,4,5,4,128,,37634,Declining,6634,,Stable,3.5,,,32863,2025-01-19,High,,,
AREA_045,Sector 12,Zirakpur,Semi-Urban,Mixed,146569,20,8,9,2,3,0,3,114,70,Medium,4,4,3,35,1266,19592,Declining,3801,11755,Rising,3.6,2069,8,26316,2025-01-17,Low,Difficult,High rent,0
AREA_046,Sector 14,Amritsar,Semi-Urban,Mixed,142414,21,8,6,1,4,2,3,83,25,Medium,3,3,3,46,1018,17315,Declining,4312,10389,Rising,4.0,159,8,22273,2025-01-23,Medium,Easy,High rent,10
AREA_047,Sector 20,Patiala,Rural,Mixed,148996,10,6,2,5,5,0,1,30,9,Low,3,2,2,15,1229,8541,Declining,2933,5124,Rising,4.7,785,6,8738,2025-01-14,High,Easy,High rent,0
AREA_048,Mansa Devi Complex,Amritsar,Semi-Urban,Commercial,142884,24,14,9,2,5,3,3,91,30,Medium,4,4,2,40,1486,13532,Growing,4941,8119,Falling,3.8,1238,14,25716,2025-01-17,Low,Easy,Poor infrastructure,9
AREA_049,Industrial Area,Mohali,Semi-Urban,Residential,142741,20,12,6,4,5,0,3,91,32,Medium,4,4,3,45,509,17780,Declining,3906,10668,Rising,4.2,1201,12,26164,2025-01-21,High,Easy,parking shortage,5
AREA_050,Kalka,Jalandhar,Semi-Urban,Residential,144648,20,11,8,2,2,1,2,69,27,Medium,3,3,2,28,1193,21226,Declining,4591,12735,Stable,3.4,1871,11,17626,2025-01-27,Low,Difficult,Poor infrastructure,4
AREA_051,Pinjore,Mohali,Semi-Urban,Mixed,148566,21,9,8,6,4,1,2,68,34,Medium,4,4,3,25,1361,19567,Stable,4326,11740,Rising,4.6,537,9,17150,2025-01-01,Low,Difficult,parking shortage,10
AREA_052,Barwala,Mohali,Semi-Urban,Mixed,142078,29,12,7,6,5,3,5,74,26,Medium,4,3,3,29,1383,12179,Growing,4230,7307,Rising,4.2,1883,12,19923,2025-01-02,Medium,Difficult,Poor infrastructure,2
AREA_053,Zirakpur Main Market,Karnal,Rural,Residential,143727,11,5,,3,4,,1,35,12,Low,2,3,3,11,,8329,Declining,2551,,Falling,3.8,,,8972,2025-01-19,High,,,
AREA_054,VIP Road,Solan,Semi-Urban,Mixed,147544,27,14,8,1,2,0,3,103,41,Medium,3,4,2,48,502,18440,Growing,4771,11064,Falling,3.3,1346,14,26626,2025-01-15,High,Moderate,Poor infrastructure,2
AREA_055,Peer Muchalla,Ambala,Semi-Urban,Residential,147549,21,13,8,1,3,3,3,106,71,Medium,3,4,2,34,864,15365,Declining,4409,9219,Rising,4.1,286,13,22896,2025-01-14,Low,Difficult,Poor infrastructure,10
AREA_056,Baltana,Mohali,Urban,Commercial,142133,64,27,,6,4,,4,~265,88,High,4,4,4,85,,38072,Declining,6795/-,,Stable,3.7,,,40337,15-01-2025,High,,,
AREA_057,Lohgarh,Amritsar,Rural,Mixed,142667,10,4,6,1,3,3,0,33,11,Low,3,2,3,18,506,5108,Declining,2892,3064,Falling,4.0,1801,4,19658,2025-01-15,Low,Difficult,parking shortage,0
AREA_058,Gazipur,Jalandhar,Semi-Urban,Mixed,149816,29,10,7,4,3,1,1,98,54,Medium,4,3,3,51,1208,21871,Stable,4431,13122,Falling,3.8,2088,10,29245,2025-01-21,Low,Difficult,Poor infrastructure,14
AREA_059,Ambala Cantt,Karnal,Rural,Mixed,142843,13,6,2,6,4,1,0,41,18,Low,2,2,2,14,748,5648,Declining,2678,3388,Stable,4.7,855,6,5779,2025-01-06,High,Difficult,Low footfall,2
AREA_060,Ambala City Market,Panchkula,Semi-Urban,Residential,147217,26,12,3,3,2,2,4,111,56,Medium,4,4,3,46,1161,20774,Declining,4072,12464,Rising,3.9,1973,12,22601,2025-01-21,Medium,Easy,High rent,11
AREA_061,Saha,Patiala,Urban,Mixed,143428,42,19,7,5,3,5,4,146,93,Medium,5,5,3,92,903,29975,Stable,5094,17985,Stable,4.0,1811,19,35037,2025-01-28,Low,Moderate,parking shortage,16
AREA_062,Naraingarh,Solan,Semi-Urban,Commercial,144476,21,15,5,5,2,,3,91,38,Medium,3,3,3,39,Rs 1266,18867,Declining,4876,11320,Stable,4.4,,15,24015,2025-01-12,Low,,High rent,
AREA_063,Shahzadpur,Solan,Rural,Mixed,144635,5,5,9,6,3,0,0,35,24,Low,2,3,3,22,845,9341,Declining,2542,5604,Falling,3.4,1884,5,8433,2025-01-19,Low,Easy,parking shortage,7
AREA_064,Rajpura,Panchkula,Urban,Commercial,140744,59,31,5,9,3,3,10,275,122,High,5,4,3,129,1414,48204,Stable,6598,28922,Stable,4.3,985,31,34474,2025-01-23,Low,Difficult,Low footfall,6
AREA_065,Nabha,Amritsar,Semi-Urban,Commercial,142023,30,13,3,5,3,1,1,69,22,Medium,3,4,3,36,810,16028,Growing,4084,9616,Falling,3.2,544,13,18452,2025-01-17,Low,Easy,High rent,0
AREA_066,Samana,Panchkula,Semi-Urban,Commercial,140030,27,11,3,6,5,2,3,88,60,Medium,4,4,3,52,1354,12239,Growing,4913,7343,Rising,4.5,550,11,30092,2025-01-11,Low,Easy,parking shortage,0
AREA_067,Patran,Amritsar,Rural,Commercial,147181,12,3,7,1,3,0,1,30,11,Low,2,3,2,15,1189,6346,Growing,2158,3807,Stable,3.8,1342,3,8419,2025-01-10,Low,Difficult,Poor infrastructure,1
AREA_068,Ferozepur Road,Panchkula,Semi-Urban,Commercial,145320,31,9,7,1,2,0,5,102,53,Medium,3,3,2,59,925,14271,Growing,4024,8562,Falling,3.3,2052,9,23358,2025-01-25,Low,Difficult,High rent,4
AREA_069,Model Town,Ambala,Rural,Commercial,149293,12,6,5,1,4,3,0,36,11,Low,3,2,2,24,553,9009,Growing,2916,5405,Stable,3.6,1177,6,23742,2025-01-16,Low,Moderate,High rent,1
AREA_070,Civil Lines,Zirakpur,Urban,Commercial,149728,47,34,8,4,6,2,4,254,121,High,5,4,4,81,978,33089,Declining,6903,19853,Rising,4.4,1939,34,43917,2025-01-12,High,Moderate,parking shortage,19
AREA_071,PAU Campus,Mohali,Semi-Urban,Mixed,142125,26,8,7,3,5,3,1,94,49,Medium,3,4,3,65,944,13829,Declining,4100,8297,Stable,3.9,1238,8,31320,2025-01-27,Low,Easy,parking shortage,0
AREA_072,Dugri,Zirakpur,Semi-Urban,Residential,142638,24,9,5,6,1,,3,104,67,Medium,4,3,3,34,675,13124,Growing,4580,7874,Stable,4.2,927,9,19337,2025-01-13,High,,High rent,
AREA_073,Sarabha Nagar,Chandigarh,Rural,Mixed,149992,9,5,2,6,5,2,0,37,22,Low,3,3,3,12,1478,5096,Stable,2547,3057,Stable,3.2,858,5,12732,2025-01-11,Medium,Difficult,High rent,2
AREA_074,Rajguru Nagar,Chandigarh,Urban,Commercial,140480,68,27,10,7,4,3,13,273,179,High,5,5,4,120,890,38475,Stable,6221,23085,Rising,3.8,1518,27,30124,2025-01-13,High,Easy,High rent,13
AREA_075,Model Town JL,Patiala,Urban,Residential,148970,10,2,8,5,7,4,0,37,13,Medium,4,5,3,12,1026,6893,Growing,2997,4135,Stable,4.4,2019,2,36997,2025-01-17,Low,Easy,High rent,13
AREA_076,Civil Lines JL,Ludhiana,Semi-Urban,Commercial,148934,24,11,2,1,4,3,2,87,30,Medium,4,3,2,45,1486,20076,Growing,4471,12045,Rising,3.4,517,11,32951,2025-01-20,High,Moderate,High rent,2
AREA_077,GT Road Jalandhar,Chandigarh,Urban,Mixed,148147,44,12,8,7,6,2,2,191,110,Medium,4,4,3,129,729,24419,Growing,5172,14651,Rising,3.7,970,12,44776,2025-01-26,High,Difficult,parking shortage,5
AREA_078,Nakodar,Panchkula,Semi-Urban,Commercial,141733,23,8,8,4,1,1,4,90,49,Medium,3,4,3,40,1193,20424,Declining,3858,12254,Falling,3.7,1360,8,19737,2025-01-17,Low,Easy,Poor infrastructure,5
AREA_079,Phillaur,Chandigarh,Urban,Commercial,140715,69,21,6,8,3,3,13,265,85,High,5,4,4,108,523,43088,Growing,6404,25852,Falling,3.4,2441,21,48453,2025-01-27,Low,Moderate,High rent,7
AREA_080,Golden Temple Area,Chandigarh,Rural,Commercial,148230,14,6,2,5,4,1,0,40,16,Low,2,3,3,26,1358,8945,Declining,2582,5367,Rising,4.0,592,6,19598,2025-01-10,Low,Difficult,Poor infrastructure,6
AREA_081,Ranjit Avenue,Chandigarh,Urban,Commercial,140347,59,29,9,4,3,5,7,252,136,High,4,4,3,124,1149,43363,Declining,6205,26017,Stable,4.0,1426,29,38965,2025-01-08,Medium,Easy,Poor infrastructure,15
AREA_082,Lawrence Road,Mohali,Semi-Urban,Commercial,146994,24,14,9,6,2,3,3,101,55,Medium,3,3,2,67,518,17026,Declining,4495,10215,Stable,3.3,527,14,26243,2025-01-14,High,Moderate,Poor infrastructure,14
AREA_083,Mall Road ASR,Amritsar,Semi-Urban,Mixed,146658,24,11,9,6,5,2,2,117,58,Medium,4,3,3,35,632,12541,Stable,3961,7524,Stable,3.7,310,11,18352,2025-01-05,Low,Easy,High rent,4
AREA_084,Chheharta,Ludhiana,Semi-Urban,Commercial,144441,17,8,6,3,2,1,1,64,33,Medium,3,3,2,24,1409,15348,Declining,4700,9208,Stable,4.0,407,8,25807,2025-01-16,Low,Difficult,parking shortage,11
AREA_085,Mall Road Shimla,Ambala,Rural,Residential,145305,12,2,3,4,3,3,1,44,30,Low,2,2,2,15,677,9736,Growing,2975,5841,Falling,3.3,1469,2,13552,2025-01-23,Low,Easy,parking shortage,14
AREA_086,Lakkar Bazaar,Mohali,Semi-Urban,Commercial,,24,10,,2,5,,4,~94,62,Medium,4,3,3,,,20224,,4286/-,,Stable,4.5,,,18721,15-01-2025,High,,,
AREA_087,Lower Bazaar,Ambala,Urban,Commercial,149276,53,33,5,9,6,3,4,244,166,High,4,5,3,158,1288,49140,Stable,6579,29484,Stable,3.3,1870,33,37169,2025-01-17,Medium,Easy,High rent,
AREA_088,Sanjauli,Amritsar,Semi-Urban,Mixed,,19,,,6,5,,1,,58,Medium,,3,3,,,,,,,Rising,,,,34284,,High,,,
AREA_089,Dhalli,Mohali,Urban,Commercial,143822,62,28,10,4,3,3,9,227,155,High,5,5,3,115,1337,40588,Declining,6234,24352,Stable,4.6,771,28,33240,2025-01-24,High,Moderate,Poor infrastructure,15
AREA_090,Baddi Industrial,Panchkula,Urban,Commercial,,52,,,8,4,,9,,89,High,,5,3,,,,,,,Falling,,,,36295,,High,,,
AREA_091,Nalagarh,Ludhiana,Semi-Urban,Mixed,147359,15,8,2,1,4,1,2,106,40,Medium,4,3,3,42,1389,20268,Declining,4839,12160,Rising,3.3,1696,8,33908,2025-01-06,High,Difficult,Poor infrastructure,14
AREA_092,Parwanoo,Ludhiana,Semi-Urban,Commercial,145534,21,9,7,5,4,1,2,62,42,Medium,3,4,2,26,1319,19183,Declining,4276,11509,Rising,4.0,1006,9,18276,2025-01-27,Low,Easy,parking shortage,9
AREA_093,Solan Town,Mohali,Urban,Commercial,,,,,4,5,,NA,,135,,6,4,,,,,,,,Rising,,,,,,High,,,
AREA_094,Kasauli,Panchkula,Semi-Urban,Commercial,141996,18,10,8,1,1,0,3,71,42,Medium,3,3,3,36,794,18023,Growing,3860,10813,Rising,4.1,945,10,26656,2025-01-28,Low,Difficult,High rent,12
AREA_095,Karnal Market,Shimla,Semi-Urban,Mixed,149499,22,15,2,3,1,,1,84,38,Medium,3,3,2,42,1016,19243,Declining,4444,11545,Falling,4.7,1912,15,30895,2025-01-13,Low,,High rent,
AREA_096,Sector 13 Karnal,Karnal,Semi-Urban,Residential,148813,29,11,8,6,1,2,3,119,62,Medium,3,3,3,68,850,19425,Stable,3822,11655,Stable,3.6,2032,11,22367,2025-01-07,Low,Moderate,High rent,3
AREA_097,Gharaunda,Panchkula,Urban,Mixed,,,,,8,3,,3shops,,53,Medium,,4,,,,,,,,Falling,,,,,,High,,,
AREA_098,Nilokheri,Amritsar,Semi-Urban,Residential,149160,18,10,7,5,4,3,3,61,41,Medium,3,4,2,30,1028,20282,Declining,4022,12169,Falling,4.2,1105,10,28286,2025-01-12,Medium,Moderate,High rent,8
AREA_099,Sector 17 Market Zone 2,Jalandhar,Rural,Residential,147347,5,4,3,1,2,0,0,46,16,Low,3,2,3,23,696,6344,Declining,2572,3806,Stable,3.9,1133,4,17489,2025-01-04,Low,Easy,High rent,6
AREA_100,Sector 22 Zone 2,Panchkula,Urban,Residential,142062,11,5,6,4,7,4,0,31,12,Medium,5,5,3,19,1311,5891,Growing,2270,3534,Rising,3.2,853,5,47766,2025-01-09,Low,Easy,parking shortage,
