area_id,area_name,city,area_type,locality_type,pincode,retail_shops,restaurants,banks_atms,medical_facilities,educational_centers,parking_lots,vacant_shops,pedestrian_count_15min,vehicle_count_15min,footfall_intensity,road_condition,street_lighting,cleanliness,avg_daily_customers,avg_transaction_value,monthly_rent,business_growth,property_price_sqft,residential_rent_1bhk,property_trend,google_rating,google_reviews_count,zomato_restaurants,population_estimate,last_survey_date,competition_level,parking_availability,main_issue,news_mentions_6months
AREA_101,Sector 35 Zone 2,Chandigarh,Semi-Urban,Commercial,142864,15,8,8,1,2,3,2,89,31,Medium,3,3,2,26,980,16768,Declining,4992,10060,Stable,4.1,600,8,30824,2025-01-04,Low,Difficult,parking shortage,7
AREA_102,Sector 43 Zone 2,Zirakpur,Urban,Mixed,146416,27,17,8,4,6,3,4,144,81,Medium,5,5,3,88,847,34183,Declining,6194,20509,Rising,3.8,1984,17,33307,2025-01-02,Low,Moderate,parking shortage,5
AREA_103,Sector 8 Zone 2,Panchkula,Semi-Urban,Mixed,143532,19,10,5,6,4,3,2,109,38,Medium,3,4,3,32,563,13419,Declining,3808,8051,Falling,4.0,409,10,27671,2025-01-07,Low,Easy,parking shortage,3
AREA_104,Sector 15 Zone 2,Mohali,Urban,Commercial,143345,65,25,12,6,5,3,8,287,183,High,5,5,3,103,517,32926,Stable,7555,19755,Falling,3.4,2080,25,43908,2025-01-05,Low,Difficult,Low footfall,13
AREA_105,Sector 26 Zone 2,Zirakpur,Semi-Urban,Mixed,140645,19,15,9,1,2,3,3,69,39,Medium,4,4,3,30,927,21480,Declining,4751,12888,Falling,4.3,849,15,24339,2025-01-04,Low,Moderate,Poor infrastructure,12
AREA_106,Sector 9 Zone 2,Solan,Semi-Urban,Residential,,15,9,,6,5,,1,~108,43,Medium,4,4,2,,,21134,,4574/-,,Falling,3.6,,,16767,15-01-2025,Low,,,
AREA_107,Sector 11 Zone 2,Solan,Rural,Commercial,140352,13,2,5,4,3,0,0,20,12,Low,3,3,2,9,503,8277,Growing,2222,4966,Rising,4.5,2023,2,19071,2025-01-16,Low,Difficult,Poor infrastructure,10
AREA_108,Sector 19 Zone 2,Solan,Semi-Urban,Mixed,149309,23,11,9,3,1,2,3,102,45,Medium,4,3,3,37,1265,13720,Growing,4531,8232,Rising,4.0,311,11,32144,2025-01-09,Low,Easy,High rent,10
AREA_109,Sector 20 Zone 2,Amritsar,Rural,Residential,149206,13,5,8,6,4,3,2,47,20,Low,3,2,2,23,934,5699,Declining,2892,3419,Falling,4.3,1966,5,12269,2025-01-09,High,Moderate,Poor infrastructure,2
AREA_110,Sector 34 Zone 2,Ludhiana,Semi-Urban,Commercial,145580,20,14,7,1,5,0,1,92,31,Medium,3,3,2,39,834,21047,Growing,3910,12628,Falling,3.7,879,14,34359,2025-01-10,Low,Difficult,Low footfall,2
AREA_111,Sector 38 Zone 2,Zirakpur,Urban,Commercial,143739,55,34,6,6,3,5,9,273,92,High,5,5,4,132,858,43878,Stable,6781,26326,Stable,4.1,694,34,35076,2025-01-17,Medium,Moderate,parking shortage,
AREA_112,Sector 40 Zone 2,Solan,Semi-Urban,Commercial,149313,23,14,3,1,5,0,3,104,35,Medium,4,4,2,56,844,17528,Growing,4320,10516,Rising,3.3,923,14,30695,2025-01-15,Low,Easy,Poor infrastructure,8
AREA_113,Industrial Area Phase 1 Zone 2,Chandigarh,Semi-Urban,Mixed,142651,30,13,,3,5,,4,111,76,Medium,4,3,3,39,,12919,Growing,3877,,Rising,4.1,,,29971,2025-01-03,Low,,,
AREA_114,Industrial Area Phase 2 Zone 2,Panchkula,Urban,Residential,,,,,7,5,,0shops,,7,Medium,,4,,,,,,,,Rising,,,,,,Medium,,,
AREA_115,Manimajra Zone 2,Ludhiana,Semi-Urban,Mixed,,,,,3,1,,NA,,70,,6,3,,,,,,,,Rising,,,,,,Low,,,
AREA_116,Raipur Khurd Zone 2,Zirakpur,Urban,Residential,,,,,7,3,,NA,,22,,6,5,,,,,,,,Stable,,,,,,Low,,,
AREA_117,Dhanas Zone 2,Amritsar,Semi-Urban,Commercial,143768,16,13,5,4,5,1,3,85,54,Medium,3,3,3,27,886,20496,Growing,4578,12297,Rising,3.7,567,13,32845,2025-01-14,Low,Easy,parking shortage,11
AREA_118,IT Park Phase 8 Zone 2,Zirakpur,Semi-Urban,Mixed,143734,32,9,3,4,4,0,5,113,78,Medium,3,4,3,63,1070,18992,Growing,3891,11395,Rising,3.9,959,9,33337,2025-01-18,Low,Moderate,Poor infrastructure,1
AREA_119,Phase 3B2 Zone 2,Ambala,Urban,Commercial,148583,56,24,9,7,3,5,9,292,121,High,5,4,4,131,1297,33869,Declining,6785,20321,Falling,3.5,2214,24,34896,2025-01-09,Low,Easy,High rent,5
AREA_120,Phase 5 Zone 2,Ambala,Urban,Mixed,148633,40,14,10,5,3,5,4,120,49,Medium,5,4,4,62,807,22684,Growing,6128,13610,Rising,3.8,1545,14,31097,2025-01-15,Low,Moderate,parking shortage,16
AREA_121,Phase 7 Zone 2,Chandigarh,Semi-Urban,Residential,146368,17,14,4,3,2,2,2,86,53,Medium,4,4,3,45,799,21929,Growing,4193,13157,Rising,3.6,1879,14,23613,2025-01-02,Low,Easy,High rent,13
AREA_122,Phase 9 Zone 2,Ambala,Semi-Urban,Residential,148170,20,14,6,2,1,2,1,111,46,Medium,3,4,3,46,672,21633,Declining,4207,12979,Rising,4.0,1831,14,15450,2025-01-18,High,Easy,Poor infrastructure,2
AREA_123,Phase 10 Zone 2,Chandigarh,Rural,Residential,140342,6,2,7,1,2,,1,48,14,Low,2,3,2,14,665,6059,Declining,2482,3635,Rising,4.5,1285,2,8864,2025-01-09,Low,,parking shortage,
AREA_124,Phase 11 Zone 2,Mohali,Semi-Urban,Residential,144816,27,9,2,3,4,3,5,97,43,Medium,3,3,2,40,860,17613,Declining,4140,10567,Rising,3.2,238,9,16853,2025-01-02,High,Difficult,Low footfall,14
AREA_125,Sector 70 Zone 2,Zirakpur,Rural,Residential,147054,11,2,4,3,1,2,1,34,17,Low,2,3,3,23,1342,7733,Stable,2431,4639,Rising,4.2,133,2,21979,2025-01-14,Medium,Moderate,parking shortage,0
AREA_126,Sector 82 Zone 2,Ludhiana,Semi-Urban,Mixed,148872,15,8,2,6,5,1,1,111,66,Medium,4,4,3,61,761,15789,Declining,3955,9473,Stable,3.8,248,8,32861,2025-01-24,High,Difficult,Poor infrastructure,1
AREA_127,Sector 88 Zone 2,Ambala,Urban,Residential,146380,8,2,9,6,5,,1,48,25,Medium,5,5,3,22,Rs 1451,8117,Stable,2666,4870,Falling,4.7,,2,32383,2025-01-23,Low,,parking shortage,
AREA_128,Kharar Main Market Zone 2,Zirakpur,Urban,Mixed,144032,43,14,11,5,5,4,5,130,43,Medium,5,5,4,51,678,20623,Growing,5209,12373,Falling,3.5,2208,14,49265,2025-01-06,Low,Difficult,High rent,9
AREA_129,Kharar Landran Road Zone 2,Chandigarh,Rural,Residential,148441,5,4,6,6,4,2,0,46,13,Low,3,3,3,14,1378,6005,Declining,2578,3603,Rising,3.9,381,4,7740,2025-01-09,Low,Moderate,Poor infrastructure,12
AREA_130,Kurali Zone 2,Panchkula,Semi-Urban,Mixed,144297,25,9,2,4,1,2,3,111,51,Medium,4,4,3,42,729,15757,Declining,3605,9454,Rising,3.6,509,9,16554,2025-01-27,High,Moderate,High rent,4
AREA_131,Mullanpur Zone 2,Ambala,Urban,Commercial,149452,50,32,12,8,7,2,6,232,133,High,4,4,4,108,673,40416,Stable,7722,24249,Falling,4.6,1482,32,30864,2025-01-27,Low,Difficult,High rent,19
AREA_132,Nayagaon Zone 2,Ambala,Semi-Urban,Commercial,148135,16,10,9,2,1,1,1,84,32,Medium,3,4,2,56,803,15935,Declining,4618,9561,Falling,4.2,1825,10,32133,2025-01-13,Low,Moderate,High rent,3
AREA_133,Derabassi Zone 2,Amritsar,Semi-Urban,Commercial,142944,31,15,3,3,5,3,5,108,50,Medium,4,4,3,42,1019,14576,Stable,4884,8745,Stable,3.3,348,15,27805,2025-01-04,Low,Difficult,parking shortage,0
AREA_134,Dera Bassi Industrial Zone 2,Mohali,Urban,Commercial,140607,63,30,9,6,4,5,11,285,136,High,4,5,4,192,1194,30123,Growing,6156,18073,Stable,3.8,2213,30,37503,2025-01-23,Low,Moderate,High rent,16
AREA_135,Landran College Area Zone 2,Panchkula,Rural,Mixed,144544,10,3,2,3,2,2,0,37,19,Low,2,3,2,19,1249,7912,Declining,2615,4747,Rising,3.7,607,3,14284,2025-01-16,Low,Difficult,High rent,13
AREA_136,Banur Zone 2,Zirakpur,Rural,Residential,148158,8,6,2,5,4,2,0,28,9,Low,3,2,3,18,919,6842,Growing,2201,4105,Falling,3.6,2080,6,13009,2025-01-27,High,Easy,Low footfall,13
AREA_137,Lalru Zone 2,Mohali,Urban,Commercial,145993,49,20,12,9,3,2,6,206,78,High,4,5,3,74,1340,34580,Declining,7268,20748,Falling,4.4,1117,20,41895,2025-01-24,High,Moderate,Poor infrastructure,9
AREA_138,Gharuan Zone 2,Ambala,Urban,Commercial,146543,64,29,5,6,5,2,3,265,128,High,5,5,4,126,1129,30287,Stable,6518,18172,Stable,3.8,1025,29,37959,2025-01-25,Medium,Easy,High rent,8
AREA_139,Morinda Zone 2,Mohali,Urban,Commercial,146567,66,21,12,8,7,3,5,281,93,High,5,5,4,100,534,40094,Declining,7849,24056,Rising,4.1,1333,21,34486,2025-01-21,Low,Moderate,High rent,10
AREA_140,Airport Road Zone 2,Panchkula,Urban,Commercial,148880,46,21,11,6,3,4,4,228,124,High,5,4,4,125,794,37759,Declining,7678,22655,Rising,3.4,1226,21,45876,2025-01-20,Low,Easy,Low footfall,19
AREA_141,Sector 5 Zone 2,Panchkula,Semi-Urban,Commercial,144023,33,15,5,6,3,2,2,105,48,Medium,3,3,2,48,1211,17350,Stable,4348,10410,Falling,4.2,1153,15,16828,2025-01-02,Medium,Difficult,parking shortage,11
AREA_142,Sector 9 Zone 2,Patiala,Semi-Urban,Commercial,144041,25,12,8,1,5,,4,117,46,Medium,3,3,3,43,Rs 680,16747,Stable,4847,10048,Falling,4.2,,12,16646,2025-01-20,Low,,High rent,
AREA_143,Sector 12 Zone 2,Karnal,Semi-Urban,Commercial,141208,27,13,2,6,2,1,3,80,34,Medium,3,4,2,40,1405,16065,Growing,4866,9639,Rising,4.0,842,13,25197,2025-01-19,High,Easy,Poor infrastructure,6
AREA_144,Sector 14 Zone 2,Shimla,Rural,Mixed,147894,11,2,7,3,5,1,0,43,29,Low,2,2,3,27,557,9823,Declining,2125,5893,Rising,4.0,1044,2,5213,2025-01-11,Low,Easy,High rent,2
AREA_145,Sector 20 Zone 2,Ambala,Urban,Commercial,146596,42,22,12,4,6,,3,228,119,High,4,5,3,142,Rs 1197,38781,Stable,6691,23268,Falling,3.4,,22,41996,2025-01-17,Medium,,parking shortage,
AREA_146,Mansa Devi Complex Zone 2,Shimla,Semi-Urban,Mixed,140911,29,11,7,1,3,1,1,96,33,Medium,3,4,2,44,1297,18315,Declining,3911,10989,Stable,3.9,652,11,23476,2025-01-08,High,Difficult,parking shortage,7
AREA_147,Industrial Area Zone 2,Chandigarh,Semi-Urban,Commercial,148040,25,10,7,1,3,1,2,95,39,Medium,4,4,2,53,1222,15441,Stable,3846,9264,Stable,3.3,1093,10,16887,2025-01-24,High,Difficult,Poor infrastructure,10
AREA_148,Kalka Zone 2,Panchkula,Semi-Urban,Commercial,145514,29,11,3,4,1,0,4,108,59,Medium,3,4,3,60,814,16384,Declining,4545,9830,Rising,4.2,363,11,22044,2025-01-25,Low,Easy,parking shortage,9
AREA_149,Pinjore Zone 2,Patiala,Urban,Residential,144890,8,5,8,6,4,4,1,39,15,Medium,4,4,3,14,985,9110,Declining,2767,5466,Rising,3.9,1413,5,45231,2025-01-23,Medium,Easy,Poor infrastructure,
AREA_150,Barwala Zone 2,Patiala,Urban,Commercial,,,,,7,6,,NA,,61,,6,5,,,,,,,,Falling,,,,,,High,,,
AREA_151,Zirakpur Main Market Zone 2,Mohali,Urban,Commercial,140615,54,25,5,4,3,3,6,223,91,High,5,5,3,76,975,33932,Growing,6137,20359,Stable,4.3,2199,25,31223,2025-01-18,High,Difficult,High rent,10
AREA_152,VIP Road Zone 2,Karnal,Rural,Residential,147038,11,2,6,6,3,,1,34,19,Low,2,3,3,19,1299,5301,Declining,2784,3180,Rising,3.8,1985,2,19360,2025-01-04,Low,,High rent,
AREA_153,Peer Muchalla Zone 2,Zirakpur,Urban,Mixed,146845,36,16,6,5,4,,3,167,111,Medium,4,5,4,56,Rs 1233,30309,Declining,5506,18185,Falling,3.7,,16,44549,2025-01-13,High,,High rent,
AREA_154,Baltana Zone 2,Ambala,Semi-Urban,Residential,149830,16,15,3,4,2,1,2,66,45,Medium,4,4,2,36,801,14413,Declining,4395,8647,Rising,4.6,640,15,33215,2025-01-14,High,Difficult,Low footfall,6
AREA_155,Lohgarh Zone 2,Solan,Semi-Urban,Mixed,148771,26,15,4,4,5,1,2,99,31,Medium,3,3,3,42,1235,21718,Declining,4989,13030,Falling,3.9,911,15,27089,2025-01-01,Low,Moderate,High rent,3
AREA_156,Gazipur Zone 2,Zirakpur,Urban,Mixed,143269,28,21,6,5,3,2,3,132,50,Medium,5,5,3,69,1486,30144,Stable,5351,18086,Stable,3.6,2008,21,30969,2025-01-04,Medium,Moderate,Poor infrastructure,10
AREA_157,Ambala Cantt Zone 2,Chandigarh,Semi-Urban,Residential,141260,19,14,7,2,3,2,3,80,51,Medium,4,3,2,55,1294,14593,Stable,4759,8755,Falling,4.1,433,14,23212,2025-01-01,Low,Difficult,Poor infrastructure,13
AREA_158,Ambala City Market Zone 2,Zirakpur,Urban,Mixed,140165,26,17,5,5,6,5,2,171,55,Medium,5,4,3,104,1444,25914,Stable,5087,15548,Rising,4.4,779,17,34456,2025-01-23,Low,Difficult,High rent,12
AREA_159,Saha Zone 2,Karnal,Semi-Urban,Residential,141446,18,8,,6,3,,2,91,39,Medium,4,3,2,60,,17861,Declining,4939,,Falling,3.8,,,32982,2025-01-21,High,,,
AREA_160,Naraingarh Zone 2,Chandigarh,Urban,Commercial,147516,54,21,,8,6,,5,297,163,High,5,4,3,179,,38797,Declining,6926,,Stable,4.0,,,36308,2025-01-12,High,,,
AREA_161,Shahzadpur Zone 2,Mohali,Urban,Residential,148440,6,3,12,4,5,2,0,21,14,Medium,5,5,4,9,781,9205,Declining,2252,5523,Rising,4.3,510,3,33315,2025-01-23,High,Easy,High rent,16
AREA_162,Rajpura Zone 2,Zirakpur,Semi-Urban,Mixed,142614,28,12,4,6,3,1,5,110,69,Medium,4,4,3,46,935,20553,Growing,4412,12331,Rising,3.8,764,12,16848,2025-01-17,Medium,Easy,parking shortage,14
AREA_163,Nabha Zone 2,Mohali,Semi-Urban,Mixed,140896,27,9,4,3,5,0,2,96,62,Medium,4,4,3,62,894,12037,Growing,3675,7222,Rising,3.2,657,9,15871,2025-01-07,Medium,Difficult,High rent,6
AREA_164,Samana Zone 2,Zirakpur,Semi-Urban,Residential,140434,23,14,9,3,1,0,3,97,55,Medium,3,3,3,32,1299,16035,Stable,3886,9621,Stable,3.9,1054,14,25213,2025-01-21,Medium,Easy,High rent,2
AREA_165,Patran Zone 2,Ambala,Urban,Commercial,147093,44,32,11,7,4,5,6,281,153,High,4,4,3,178,504,41292,Growing,6826,24775,Rising,3.9,694,32,34731,2025-01-28,Low,Moderate,parking shortage,
AREA_166,Ferozepur Road Zone 2,Panchkula,Urban,Commercial,143970,56,21,5,4,7,4,10,296,104,High,4,4,4,192,660,46740,Declining,7830,28044,Rising,3.7,2334,21,41297,2025-01-11,Medium,Easy,parking shortage,15
AREA_167,Model Town Zone 2,Zirakpur,Semi-Urban,Commercial,144537,18,8,3,5,5,1,2,101,56,Medium,3,4,3,70,1157,17307,Growing,3765,10384,Stable,4.2,996,8,26681,2025-01-05,Low,Easy,Low footfall,0
AREA_168,Civil Lines Zone 2,Ambala,Urban,Commercial,142490,67,30,10,8,5,5,11,213,120,High,4,4,3,78,1331,46112,Declining,7710,27667,Stable,4.6,1560,30,47793,2025-01-28,Low,Easy,High rent,5
AREA_169,PAU Campus Zone 2,Solan,Semi-Urban,Residential,144865,34,8,7,6,5,2,3,77,41,Medium,3,3,2,39,1184,14629,Stable,4017,8777,Rising,3.5,373,8,30597,2025-01-04,High,Easy,High rent,10
AREA_170,Dugri Zone 2,Ambala,Semi-Urban,Commercial,140163,19,10,6,1,4,2,2,103,60,Medium,4,3,3,49,1291,21995,Growing,3707,13197,Rising,4.3,227,10,15567,2025-01-27,High,Moderate,Poor infrastructure,9
AREA_171,Sarabha Nagar Zone 2,Mohali,Semi-Urban,Commercial,141349,26,11,7,1,2,0,2,96,57,Medium,3,4,3,49,856,20201,Stable,4775,12120,Falling,4.2,892,11,27578,2025-01-06,Medium,Difficult,Low footfall,4
AREA_172,Rajguru Nagar Zone 2,Panchkula,Semi-Urban,Commercial,146063,15,8,4,1,3,2,1,114,53,Medium,4,3,2,77,941,21051,Declining,4971,12630,Rising,4.4,1440,8,32830,2025-01-06,Low,Moderate,parking shortage,12
AREA_173,Model Town JL Zone 2,Karnal,Rural,Residential,145692,9,4,7,6,5,3,1,42,14,Low,2,2,3,26,1316,5310,Declining,2920,3186,Rising,3.8,1729,4,17612,2025-01-20,High,Moderate,High rent,12
AREA_174,Civil Lines JL Zone 2,Solan,Rural,Mixed,145312,5,5,3,4,5,3,0,43,19,Low,3,2,2,25,1294,5832,Declining,2440,3499,Stable,4.7,1250,5,21334,2025-01-01,Medium,Easy,Poor infrastructure,7
AREA_175,GT Road Jalandhar Zone 2,Karnal,Semi-Urban,Residential,141322,21,10,7,5,4,3,3,101,68,Medium,3,4,2,45,629,14228,Stable,4716,8536,Falling,3.8,405,10,34774,2025-01-05,High,Moderate,Poor infrastructure,9
AREA_176,Nakodar Zone 2,Panchkula,Urban,Commercial,142396,55,20,11,7,3,3,7,286,111,High,5,5,4,158,938,35890,Growing,7653,21534,Stable,3.8,2341,20,46731,2025-01-05,Medium,Moderate,Low footfall,18
AREA_177,Phillaur Zone 2,Chandigarh,Urban,Mixed,143932,28,17,8,5,7,4,2,140,49,Medium,4,5,4,49,951,24858,Stable,5748,14914,Falling,4.6,879,17,30696,2025-01-03,Low,Difficult,Poor infrastructure,6
AREA_178,Golden Temple Area Zone 2,Ludhiana,Semi-Urban,Mixed,144250,28,10,6,3,1,3,3,72,36,Medium,3,3,2,48,623,17444,Declining,4537,10466,Falling,3.6,1012,10,33758,2025-01-19,High,Easy,parking shortage,1
AREA_179,Ranjit Avenue Zone 2,Ambala,Urban,Commercial,144045,66,28,12,5,4,2,4,269,96,High,5,5,3,150,929,43293,Declining,7261,25975,Stable,4.2,1297,28,32442,2025-01-14,Low,Moderate,Poor infrastructure,18
AREA_180,Lawrence Road Zone 2,Zirakpur,Semi-Urban,Mixed,,29,,,5,2,,5,,53,Medium,,4,3,,,,,,,Rising,,,,20223,,Low,,,
AREA_181,Mall Road ASR Zone 2,Jalandhar,Semi-Urban,Residential,147089,31,12,6,2,2,0,6,116,50,Medium,4,3,3,58,978,16173,Growing,3798,9703,Stable,3.3,1692,12,23652,2025-01-26,Low,Easy,Low footfall,5
AREA_182,Chheharta Zone 2,Amritsar,Semi-Urban,Residential,144001,27,10,6,4,4,3,4,106,61,Medium,3,4,2,69,771,18759,Growing,4629,11255,Stable,4.3,2064,10,34288,2025-01-26,High,Easy,High rent,2
AREA_183,Mall Road Shimla Zone 2,Mohali,Urban,Residential,144840,9,2,11,9,3,5,0,47,18,Medium,4,4,4,22,908,5845,Stable,2513,3507,Rising,4.3,1259,2,30203,2025-01-08,High,Easy,parking shortage,19
AREA_184,Lakkar Bazaar Zone 2,Panchkula,Urban,Commercial,144176,49,20,7,5,5,5,3,260,111,High,5,5,3,126,863,44380,Growing,6977,26628,Rising,3.8,1762,20,44133,2025-01-06,High,Difficult,High rent,5
AREA_185,Lower Bazaar Zone 2,Amritsar,Semi-Urban,Commercial,144484,30,11,7,5,1,3,2,67,43,Medium,3,4,2,39,1176,12247,Growing,4086,7348,Falling,4.3,1720,11,28686,2025-01-20,High,Easy,High rent,
AREA_186,Sanjauli Zone 2,Amritsar,Rural,Mixed,147953,12,2,8,4,1,,0,39,15,Low,2,2,3,24,Rs 520,9174,Stable,2378,5504,Stable,4.3,,2,7299,2025-01-23,Low,,High rent,
AREA_187,Dhalli Zone 2,Jalandhar,Semi-Urban,Mixed,144293,22,15,8,4,1,3,2,99,43,Medium,3,4,3,30,1498,14443,Declining,3658,8665,Falling,4.5,915,15,27849,2025-01-18,Low,Difficult,High rent,11
AREA_188,Baddi Industrial Zone 2,Patiala,Semi-Urban,Residential,146808,17,12,3,1,2,3,3,77,32,Medium,4,4,3,49,518,16816,Declining,3832,10089,Stable,3.3,274,12,27964,2025-01-07,Medium,Easy,High rent,6
AREA_189,Nalagarh Zone 2,Jalandhar,Semi-Urban,Residential,147567,20,11,3,2,3,3,1,85,37,Medium,4,4,2,34,1156,16340,Declining,4007,9804,Falling,4.3,1115,11,22209,2025-01-18,Low,Difficult,High rent,3
AREA_190,Parwanoo Zone 2,Patiala,Urban,Commercial,142466,65,27,6,9,5,2,9,204,135,High,5,5,4,112,1272,31455,Declining,6812,18873,Stable,4.2,2122,27,35456,2025-01-20,Medium,Moderate,High rent,9
AREA_191,Solan Town Zone 2,Zirakpur,Semi-Urban,Commercial,141196,24,9,4,2,4,1,2,107,56,Medium,3,4,3,43,1018,15984,Declining,4426,9590,Stable,3.8,1702,9,23342,2025-01-08,High,Moderate,parking shortage,2
AREA_192,Kasauli Zone 2,Mohali,Urban,Commercial,,,,,4,5,,5shops,,143,High,,5,,,,,,,,Rising,,,,,,Low,,,
AREA_193,Karnal Market Zone 2,Jalandhar,Semi-Urban,Mixed,148681,15,15,9,3,2,1,2,111,71,Medium,3,3,2,73,833,13709,Declining,3518,8225,Falling,4.3,1744,15,19846,2025-01-27,Low,Difficult,parking shortage,
AREA_194,Sector 13 Karnal Zone 2,Zirakpur,Urban,Commercial,142755,55,22,6,7,3,5,4,269,126,High,5,5,4,139,873,31746,Stable,7947,19047,Rising,3.5,1364,22,35834,2025-01-02,High,Easy,parking shortage,19
AREA_195,Gharaunda Zone 2,Shimla,Semi-Urban,Mixed,147855,25,8,8,1,5,3,3,75,48,Medium,3,4,2,27,1085,15706,Growing,4011,9423,Stable,4.3,674,8,31247,2025-01-06,Low,Moderate,High rent,0
AREA_196,Nilokheri Zone 2,Karnal,Semi-Urban,Mixed,142156,32,15,7,3,2,2,5,103,40,Medium,3,4,2,57,631,21479,Declining,4906,12887,Rising,3.3,502,15,25022,2025-01-19,Low,Difficult,High rent,11
AREA_197,Sector 17 Market Zone 3,Patiala,Rural,Commercial,144852,12,5,7,3,4,,1,25,8,Low,3,3,3,10,Rs 1421,6920,Declining,2578,4152,Falling,3.5,,5,11515,2025-01-28,Low,,parking shortage,
AREA_198,Sector 22 Zone 3,Panchkula,Urban,Residential,143483,11,6,11,8,6,4,1,21,14,Medium,4,4,4,9,1139,8927,Stable,2106,5356,Rising,3.7,1137,6,35121,2025-01-19,Low,Moderate,parking shortage,12
AREA_199,Sector 35 Zone 3,Jalandhar,Semi-Urban,Residential,,,,,4,5,,NA,,52,,6,4,,,,,,,,Rising,,,,,,Low,,,
AREA_200,Sector 43 Zone 3,Patiala,Urban,Commercial,,61,21,,5,4,,5,~208,100,High,4,5,3,,,43216,,6480/-,,Stable,3.6,,,42836,15-01-2025,Low,,,