area_id,area_name,city,area_type,locality_type,pincode,retail_shops,restaurants,banks_atms,medical_facilities,educational_centers,parking_lots,vacant_shops,pedestrian_count_15min,vehicle_count_15min,footfall_intensity,road_condition,street_lighting,cleanliness,avg_daily_customers,avg_transaction_value,monthly_rent,business_growth,property_price_sqft,residential_rent_1bhk,property_trend,google_rating,google_reviews_count,zomato_restaurants,population_estimate,last_survey_date,competition_level,parking_availability,main_issue,news_mentions_6months,col,monthly_rent_capped,property_price_sqft_capped,business_density,business_density_score,total_footfall,footfall_score,infrastructure_score,property_value_score,digital_presence_score,growth_momentum_score,competition_score,vacancy_rate,occupancy_score,economic_health_score,investment_category,recommended_business,risk_score,expected_return
AREA_001,Sector 17 Market,Patiala,Urban,Commercial,143684.0,43.0,27.0,10.0,5,4,3.0,3.0,275.0,149.0,High,5.0,5,4.0,130.0,1324.0,31848.0,Growing,6245.0,19108.0,Falling,4.5,670.0,27.0,37039.0,2025-01-05,High,Easy,Poor infrastructure,13.0,31848.0,31848.0,6245.0,80.0,74.77,349.5,92.34,93.33,78.58,90.0,100,30,6.52,93.48,82.0,High Potential,"Premium F&B, Tech Retail, Co-working",6.56,80.63
AREA_002,Sector 22,Chandigarh,Semi-Urban,Mixed,141220.0,25.0,13.0,7.0,5,1,0.0,4.0,116.0,51.0,Medium,3.0,3,3.0,76.0,763.0,16898.0,Growing,4807.0,10138.0,Falling,4.1,1453.0,13.0,33023.0,2025-01-23,Low,Easy,High rent,9.0,16898.0,16898.0,4807.0,45.0,42.06,141.5,37.38,60.0,60.49,82.0,100,100,13.79,86.21000000000001,64.6,Moderate Potential,"Grocery Stores, Pharmacies, Education Centers",21.65,62.96
AREA_003,Sector 35,Patiala,Urban,Commercial,,,,,4,3,,,270.4,177.0,Medium,6.0,5,,142.6,820.8,,Declining,,,Falling,,,,,,Low,Easy,High rent,,38797.0,,,,,358.9,94.82,110.0,,,20,100,,,,Low Potential,"Essential Services, Kirana, Mobile Recharge",,
AREA_004,Sector 43,Patiala,Urban,Commercial,148023.0,51.0,21.0,12.0,8,6,4.0,6.0,278.0,104.0,High,4.0,4,4.0,181.0,1175.0,40822.0,Growing,7361.0,24493.0,Rising,4.3,2483.0,21.0,30350.0,2025-01-17,High,Moderate,High rent,16.0,40822.0,40822.0,7361.0,84.0,78.5,330.0,87.19,80.0,92.63,86.0,100,30,10.53,89.47,81.11,High Potential,"Premium F&B, Tech Retail, Co-working",13.37,85.72
AREA_005,Sector 8,Zirakpur,Urban,Mixed,148450.0,28.0,17.0,10.0,7,5,3.0,1.0,144.0,67.0,Medium,5.0,4,4.0,78.0,1388.0,33258.0,Growing,6404.0,19954.0,Falling,3.4,1897.0,17.0,46404.0,2025-01-07,High,Moderate,High rent,8.0,33258.0,33258.0,6404.0,55.0,51.4,177.5,46.9,86.67,80.58,68.0,100,30,3.45,96.55,66.19,Moderate Potential,"Grocery Stores, Pharmacies, Education Centers",6.41,71.95
AREA_006,Sector 15,Chandigarh,Semi-Urban,Commercial,142246.0,31.0,15.0,4.0,3,4,0.0,5.0,83.0,57.0,Medium,4.0,4,3.0,55.0,664.0,21822.0,Stable,3576.0,13093.0,Rising,3.3,2093.0,15.0,18357.0,2025-01-06,Low,Easy,High rent,13.0,21822.0,21822.0,3576.0,50.0,46.73,111.5,29.46,73.33,45.0,66.0,60,100,13.89,86.11,56.65,Moderate Potential,"Retail Chains, Quick Service Restaurants, Banks",17.72,51.99
AREA_007,Sector 26,Ludhiana,Semi-Urban,Mixed,144807.0,24.0,14.0,3.0,2,2,3.0,1.0,66.0,31.0,Medium,4.0,4,3.0,36.0,559.0,13210.0,Stable,4223.0,7926.0,Rising,3.9,287.0,14.0,25239.0,2025-01-17,Low,Difficult,parking shortage,9.0,13210.0,13210.0,4223.0,41.0,38.32,81.5,21.53,73.33,53.14,78.0,60,100,4.0,96.0,55.72,Moderate Potential,"Grocery Stores, Pharmacies, Education Centers",10.8,54.69
AREA_008,Sector 9,Shimla,Semi-Urban,Commercial,140362.0,21.0,14.0,6.0,4,4,1.0,2.0,62.0,26.0,Medium,3.0,3,2.0,19.0,813.0,15331.0,Declining,4174.0,9198.0,Stable,3.6,1906.0,14.0,23865.0,2025-01-01,Low,Easy,High rent,3.0,15331.0,15331.0,4174.0,41.0,38.32,75.0,19.82,53.33,52.52,72.0,20,100,8.7,91.3,45.73,Moderate Potential,"Retail Chains, Quick Service Restaurants, Banks",20.09,48.45
AREA_009,Sector 11,Karnal,Rural,Mixed,,,,,1,2,,,46.6,21.0,Medium,6.0,3,,23.0,1175.6,,Declining,,,Rising,,,,,,Low,Easy,High rent,,6099.0,,,,,57.1,15.09,90.0,,,20,100,,,,Low Potential,"Essential Services, Kirana, Mobile Recharge",,
AREA_010,Sector 19,Zirakpur,Urban,Commercial,147942.0,48.0,34.0,10.0,7,7,5.0,5.0,234.0,159.0,High,5.0,4,4.0,124.0,738.0,46525.0,Declining,6658.0,27915.0,Stable,4.4,1625.0,34.0,44616.0,2025-01-03,Medium,Difficult,High rent,10.0,46525.0,46525.0,6658.0,92.0,85.98,313.5,82.83,86.67,83.78,88.0,20,60,9.43,90.57,72.96,High Potential,"Premium F&B, Tech Retail, Co-working",10.6,77.29
AREA_011,Sector 20,Patiala,Urban,Commercial,141480.0,64.0,28.0,10.0,9,6,3.0,4.0,266.0,87.0,High,5.0,4,4.0,148.0,885.0,34819.0,Growing,6088.0,20891.0,Rising,3.9,579.0,28.0,45653.0,2025-01-17,Low,Moderate,parking shortage,11.0,34819.0,34819.0,6088.0,102.0,95.33,309.5,81.77,86.67,76.61,78.0,100,100,5.88,94.12,88.78,High Potential,"Premium F&B, Tech Retail, Co-working",8.11,83.91
AREA_012,Sector 34,Ambala,Urban,Commercial,141007.0,54.0,32.0,6.0,5,4,3.0,3.0,206.0,71.0,High,4.0,4,4.0,90.0,1363.0,47849.0,Declining,7929.0,28709.0,Rising,4.6,2422.0,32.0,46762.0,2025-01-20,Low,Difficult,Poor infrastructure,13.0,47849.0,47849.0,7929.0,92.0,85.98,241.5,63.8,80.0,99.77,92.0,20,100,5.26,94.74,74.85,High Potential,"Premium F&B, Tech Retail, Co-working",9.68,84.82
AREA_013,Sector 38,Mohali,Urban,Commercial,140790.0,61.0,22.0,11.0,6,6,2.0,11.0,253.0,135.0,High,5.0,5,4.0,141.0,667.0,42774.0,Declining,7463.0,25664.0,Stable,4.7,1907.0,22.0,48646.0,2025-01-16,Low,Easy,Poor infrastructure,7.0,42774.0,42774.0,7463.0,94.0,87.85,320.5,84.68,93.33,93.91,94.0,20,100,15.28,84.72,80.48,High Potential,"Premium F&B, Tech Retail, Co-working",12.7,85.85
AREA_014,Sector 40,Panchkula,Semi-Urban,Residential,142749.0,34.0,15.0,9.0,1,2,2.0,5.0,116.0,75.0,Medium,3.0,4,3.0,49.0,1059.0,18034.0,Declining,4437.0,10820.0,Rising,4.2,806.0,15.0,28597.0,2025-01-14,High,Moderate,High rent,,18034.0,18034.0,4437.0,58.0,54.21,153.5,40.55,66.67,55.83,84.0,20,30,12.82,87.18,49.24,Moderate Potential,"Grocery Stores, Pharmacies, Education Centers",18.97,51.88
AREA_015,Industrial Area Phase 1,Jalandhar,Semi-Urban,Residential,148705.0,30.0,9.0,3.0,3,3,1.0,1.0,106.0,36.0,Medium,4.0,3,3.0,66.0,1462.0,15531.0,Growing,4671.0,9318.0,Stable,4.0,714.0,9.0,17271.0,2025-01-14,High,Easy,High rent,4.0,15531.0,15531.0,4671.0,42.0,39.25,124.0,32.76,66.67,58.78,80.0,100,30,3.23,96.77,56.8,Moderate Potential,"Grocery Stores, Pharmacies, Education Centers",12.26,57.59
AREA_016,Industrial Area Phase 2,Zirakpur,Rural,Residential,149961.0,9.0,2.0,4.0,2,4,,0.0,42.0,19.0,Low,3.0,3,3.0,28.0,1407.0,7586.0,Declining,2682.0,4551.0,Stable,4.3,920.0,2.0,10587.0,2025-01-20,High,Easy,Low footfall,,7586.0,7586.0,2682.0,15.0,14.02,51.5,13.61,60.0,33.75,86.0,20,30,0.0,100.0,32.9,Low Potential,"Essential Services, Kirana, Mobile Recharge",12.0,33.24
AREA_017,Manimajra,Karnal,Semi-Urban,Mixed,146471.0,28.0,9.0,4.0,2,1,0.0,3.0,101.0,54.0,Medium,3.0,4,3.0,64.0,1188.0,12017.0,Declining,3873.0,7210.0,Stable,3.5,1390.0,9.0,29520.0,2025-01-05,High,Difficult,parking shortage,7.0,12017.0,12017.0,3873.0,41.0,38.32,128.0,33.82,66.67,48.74,70.0,20,30,9.68,90.32,42.6,Moderate Potential,"Grocery Stores, Pharmacies, Education Centers",16.78,45.06
AREA_018,Raipur Khurd,Solan,Semi-Urban,Residential,144959.0,30.0,9.0,9.0,4,2,1.0,5.0,119.0,60.0,Medium,3.0,4,2.0,74.0,750.0,14580.0,Declining,3762.0,8748.0,Rising,4.0,1417.0,9.0,29523.0,2025-01-20,Low,Moderate,Poor infrastructure,12.0,14580.0,14580.0,3762.0,48.0,44.86,149.0,39.37,60.0,47.34,80.0,20,100,14.29,85.71000000000001,51.74,Moderate Potential,"Grocery Stores, Pharmacies, Education Centers",22.0,49.98
AREA_019,Dhanas,Chandigarh,Rural,Mixed,140535.0,8.0,6.0,5.0,4,1,2.0,0.0,20.0,10.0,Low,2.0,3,2.0,7.0,1208.0,5078.0,Declining,2633.0,3046.0,Falling,3.4,1670.0,6.0,21032.0,2025-01-04,Low,Easy,Poor infrastructure,7.0,5078.0,5845.0,2633.0,19.0,17.76,25.0,6.61,46.67,33.13,68.0,20,100,0.0,100.0,35.52,Low Potential,"Essential Services, Kirana, Mobile Recharge",16.0,34.56
AREA_020,IT Park Phase 8,Shimla,Rural,Commercial,143581.0,9.0,5.0,5.0,3,2,0.0,1.0,49.0,32.0,Low,2.0,2,2.0,21.0,680.0,8920.0,Declining,2576.0,5352.0,Falling,4.1,1767.0,5.0,6145.0,2025-01-10,Low,Difficult,High rent,,8920.0,8920.0,2576.0,19.0,17.76,65.0,17.17,40.0,32.41,82.0,20,100,10.0,90.0,37.73,Low Potential,"Essential Services, Kirana, Mobile Recharge",25.0,35.6
AREA_021,Phase 3B2,Panchkula,Semi-Urban,Mixed,146672.0,34.0,15.0,9.0,6,3,1.0,6.0,115.0,39.0,Medium,3.0,3,3.0,47.0,958.0,21648.0,Declining,4006.0,12988.0,Stable,4.2,467.0,15.0,34053.0,2025-01-24,Medium,Easy,parking shortage,10.0,21648.0,21648.0,4006.0,58.0,54.21,134.5,35.54,60.0,50.41,84.0,20,60,15.0,85.0,49.69,Moderate Potential,"Grocery Stores, Pharmacies, Education Centers",22.5,49.98
AREA_022,Phase 5,Zirakpur,Semi-Urban,Commercial,141729.0,29.0,8.0,3.0,1,2,3.0,3.0,63.0,30.0,Medium,4.0,3,2.0,23.0,1464.0,18684.0,Growing,4245.0,11210.0,Rising,4.4,475.0,8.0,15143.0,2025-01-26,High,Difficult,High rent,0.0,18684.0,18684.0,4245.0,40.0,37.38,78.0,20.61,60.0,53.42,88.0,100,30,9.38,90.62,53.4,Moderate Potential,"Retail Chains, Quick Service Restaurants, Banks",18.57,53.41
AREA_023,Phase 7,Ludhiana,Semi-Urban,Mixed,140583.0,29.0,14.0,2.0,4,5,,3.0,91.0,52.0,Medium,4.0,3,2.0,39.0,646.0,15885.0,Declining,3869.0,9531.0,Falling,4.6,1343.0,14.0,21108.0,2025-01-26,Low,Easy,parking shortage,,15885.0,15885.0,3869.0,45.0,42.06,117.0,30.91,60.0,48.69,92.0,20,100,9.38,90.62,51.02,Moderate Potential,"Grocery Stores, Pharmacies, Education Centers",18.57,50.09
AREA_024,Phase 9,Chandigarh,Semi-Urban,Commercial,144414.0,34.0,12.0,7.0,5,2,1.0,3.0,110.0,36.0,Medium,4.0,3,3.0,66.0,1202.0,14342.0,Declining,4132.0,8605.0,Rising,3.2,407.0,12.0,20555.0,2025-01-03,Medium,Moderate,parking shortage,3.0,14342.0,14342.0,4132.0,53.0,49.53,128.0,33.82,66.67,51.99,64.0,20,60,8.11,91.89,47.63,Moderate Potential,"Retail Chains, Quick Service Restaurants, Banks",15.68,49.37
AREA_025,Phase 10,Solan,Semi-Urban,Commercial,141982.0,34.0,15.0,8.0,6,3,0.0,6.0,70.0,39.0,Medium,4.0,4,3.0,41.0,896.0,19290.0,Growing,3604.0,11574.0,Stable,3.8,1645.0,15.0,27190.0,2025-01-01,Low,Easy,Low footfall,,19290.0,19290.0,3604.0,57.0,53.27,89.5,23.65,73.33,45.35,76.0,100,100,15.0,85.0,63.95,Moderate Potential,"Retail Chains, Quick Service Restaurants, Banks",18.5,56.51
AREA_026,Phase 11,Shimla,Rural,Mixed,145060.0,6.0,3.0,8.0,1,2,3.0,1.0,48.0,28.0,Low,2.0,2,3.0,15.0,857.0,6366.0,Declining,2541.0,3819.0,Stable,3.5,783.0,3.0,7697.0,2025-01-15,Medium,Moderate,High rent,10.0,6366.0,6366.0,2541.0,17.0,15.89,62.0,16.38,46.67,31.97,70.0,20,60,14.29,85.71000000000001,32.96,Low Potential,"Essential Services, Kirana, Mobile Recharge",26.0,32.56
AREA_027,Sector 70,Patiala,Rural,Residential,,,,,1,4,,0.0,42.8,15.0,Low,,3,,14.0,939.6,,Declining,,,Falling,,,,,,High,Easy,High rent,,6201.5,,,,,50.3,13.29,60.0,,,20,30,,,,Low Potential,"Essential Services, Kirana, Mobile Recharge",,
AREA_028,Sector 82,Mohali,Urban,Mixed,149629.0,44.0,12.0,,7,6,,5.0,135.0,59.0,Medium,4.0,4,4.0,84.0,1047.4,33140.0,Declining,5910.0,,Rising,3.5,,,39110.0,2025-01-15,High,Easy,High rent,,33140.0,33140.0,5910.0,,,164.5,43.46,80.0,74.37,70.0,20,30,10.2,89.8,,Low Potential,"Essential Services, Kirana, Mobile Recharge",13.14,
AREA_029,Sector 88,Jalandhar,Rural,Mixed,140135.0,14.0,4.0,5.0,3,3,0.0,2.0,27.0,18.0,Low,2.0,3,2.0,16.0,1185.0,5177.0,Stable,2931.0,3106.0,Rising,3.7,901.0,4.0,16081.0,2025-01-17,Medium,Moderate,Low footfall,2.0,5177.0,5845.0,2931.0,23.0,21.5,36.0,9.51,46.67,36.88,74.0,60,60,12.5,87.5,39.84,Low Potential,"Essential Services, Kirana, Mobile Recharge",24.75,38.66
AREA_030,Kharar Main Market,Chandigarh,Semi-Urban,Mixed,144340.0,29.0,11.0,3.0,3,2,0.0,3.0,68.0,34.0,Medium,3.0,4,2.0,26.0,1492.0,17373.0,Declining,4088.0,10423.0,Falling,4.5,833.0,11.0,18381.0,2025-01-28,High,Easy,parking shortage,11.0,17373.0,17373.0,4088.0,43.0,40.19,85.0,22.46,60.0,51.44,90.0,20,30,9.38,90.62,42.25,Moderate Potential,"Grocery Stores, Pharmacies, Education Centers",18.57,45.93
AREA_031,Kharar Landran Road,Ambala,Semi-Urban,Residential,140350.0,25.0,14.0,4.0,6,1,3.0,4.0,70.0,24.0,Medium,3.0,3,2.0,26.0,1120.0,19766.0,Declining,3569.0,11859.0,Stable,4.3,174.0,14.0,18597.0,2025-01-09,High,Easy,Poor infrastructure,5.0,19766.0,19766.0,3569.0,43.0,40.19,82.0,21.66,53.33,44.91,86.0,20,30,13.79,86.21000000000001,39.93,Low Potential,"Essential Services, Kirana, Mobile Recharge",23.65,41.92
AREA_032,Kurali,Mohali,Semi-Urban,Residential,147142.0,21.0,11.0,5.0,1,3,2.0,3.0,67.0,27.0,Medium,4.0,3,3.0,31.0,897.0,15965.0,Stable,3947.0,9579.0,Stable,3.7,1070.0,11.0,21528.0,2025-01-24,High,Moderate,High rent,7.0,15965.0,15965.0,3947.0,37.0,34.58,80.5,21.27,66.67,49.67,74.0,60,30,12.5,87.5,46.11,Moderate Potential,"Grocery Stores, Pharmacies, Education Centers",18.75,47.53
AREA_033,Mullanpur,Panchkula,Semi-Urban,Commercial,143144.0,30.0,11.0,3.0,4,2,0.0,4.0,94.0,35.0,Medium,3.0,3,2.0,49.0,1201.0,20527.0,Declining,3778.0,12316.0,Falling,4.1,114.0,11.0,21168.0,2025-01-08,Low,Easy,parking shortage,5.0,20527.0,20527.0,3778.0,44.0,41.12,111.5,29.46,53.33,47.54,82.0,20,100,11.76,88.24,48.43,Moderate Potential,"Retail Chains, Quick Service Restaurants, Banks",22.23,48.07
AREA_034,Nayagaon,Karnal,Rural,Residential,145494.0,14.0,3.0,7.0,5,1,2.0,0.0,49.0,28.0,Low,2.0,3,3.0,19.0,841.0,5179.0,Stable,2941.0,3107.0,Stable,4.1,1331.0,3.0,14220.0,2025-01-07,Medium,Moderate,parking shortage,10.0,5179.0,5845.0,2941.0,24.0,22.43,63.0,16.64,53.33,37.01,82.0,60,60,0.0,100.0,43.12,Moderate Potential,"Grocery Stores, Pharmacies, Education Centers",14.0,40.68
AREA_035,Derabassi,Chandigarh,Semi-Urban,Residential,140750.0,31.0,11.0,8.0,2,4,2.0,4.0,65.0,41.0,Medium,4.0,4,2.0,41.0,650.0,20976.0,Declining,4758.0,12585.0,Stable,3.6,597.0,11.0,19304.0,2025-01-07,Low,Difficult,parking shortage,9.0,20976.0,20976.0,4758.0,50.0,46.73,85.5,22.59,66.67,59.87,72.0,20,100,11.43,88.57,50.8,Moderate Potential,"Grocery Stores, Pharmacies, Education Centers",18.0,54.43
AREA_036,Dera Bassi Industrial,Solan,Semi-Urban,Commercial,141331.0,31.0,14.0,3.0,5,1,3.0,3.0,90.0,36.0,Medium,3.0,3,2.0,30.0,1126.0,13306.0,Stable,4997.0,7983.0,Rising,3.4,1824.0,14.0,32520.0,2025-01-14,Medium,Difficult,High rent,12.0,13306.0,13306.0,4997.0,48.0,44.86,108.0,28.53,53.33,62.88,68.0,60,60,8.82,91.18,51.45,Moderate Potential,"Retail Chains, Quick Service Restaurants, Banks",20.17,56.02
AREA_037,Landran College Area,Chandigarh,Urban,Commercial,141262.0,57.0,29.0,10.0,9,6,5.0,5.0,251.0,163.0,High,4.0,4,4.0,153.0,671.0,30664.0,Stable,7400.0,18398.0,Falling,4.4,2485.0,29.0,30935.0,2025-01-25,High,Difficult,Poor infrastructure,14.0,30664.0,30664.0,7400.0,96.0,89.72,332.5,87.85,80.0,93.12,88.0,60,30,8.06,91.94,77.73,High Potential,"Premium F&B, Tech Retail, Co-working",11.64,83.89
AREA_038,Banur,Jalandhar,Semi-Urban,Residential,148704.0,24.0,10.0,3.0,1,4,0.0,1.0,96.0,35.0,Medium,4.0,4,3.0,56.0,987.0,12139.0,Declining,4935.0,7283.0,Falling,3.8,546.0,10.0,31476.0,2025-01-02,Low,Easy,Poor infrastructure,6.0,12139.0,12139.0,4935.0,37.0,34.58,113.5,29.99,73.33,62.1,76.0,20,100,4.0,96.0,51.37,Moderate Potential,"Grocery Stores, Pharmacies, Education Centers",10.8,55.66
AREA_039,Lalru,Ambala,Rural,Residential,,,,,4,1,,,51.6,22.0,Medium,6.0,3,,23.8,1037.4,,Declining,,,Rising,,,,,,Low,Easy,High rent,,6201.5,,,,,62.6,16.54,90.0,,,20,100,,,,Low Potential,"Essential Services, Kirana, Mobile Recharge",,
AREA_040,Gharuan,Mohali,Urban,Residential,148664.0,5.0,2.0,6.0,4,4,5.0,0.0,21.0,9.0,Medium,5.0,4,3.0,14.0,1443.0,9703.0,Declining,2027.0,5821.0,Falling,4.4,1680.0,2.0,49439.0,2025-01-18,Medium,Moderate,Low footfall,18.0,9703.0,9703.0,2440.0,13.0,12.15,25.5,6.74,80.0,25.51,88.0,20,60,0.0,100.0,36.5,Low Potential,"Essential Services, Kirana, Mobile Recharge",6.0,32.1
AREA_041,Morinda,Zirakpur,Urban,Mixed,149108.0,41.0,20.0,6.0,7,4,3.0,5.0,197.0,124.0,Medium,4.0,4,4.0,95.0,607.0,26805.0,Growing,5321.0,16083.0,Rising,3.7,904.0,20.0,33519.0,2025-01-26,Low,Easy,Poor infrastructure,13.0,26805.0,26805.0,5321.0,67.0,62.62,259.0,68.43,80.0,66.96,74.0,100,100,10.87,89.13,77.28,High Potential,"Fitness Centers, Cafes, Boutiques",13.61,73.15
AREA_042,Airport Road,Patiala,Semi-Urban,Mixed,143444.0,28.0,13.0,6.0,5,4,0.0,2.0,104.0,58.0,Medium,3.0,3,2.0,35.0,890.0,12458.0,Growing,3844.0,7474.0,Rising,4.0,350.0,13.0,19002.0,2025-01-02,Low,Easy,Low footfall,8.0,12458.0,12458.0,3844.0,47.0,43.93,133.0,35.14,53.33,48.37,80.0,100,100,6.67,93.33,61.92,Moderate Potential,"Grocery Stores, Pharmacies, Education Centers",18.67,56.5
AREA_043,Sector 5,Panchkula,Semi-Urban,Residential,146029.0,24.0,9.0,5.0,1,2,3.0,1.0,68.0,41.0,Medium,4.0,3,2.0,45.0,729.0,18675.0,Growing,3500.0,11205.0,Rising,3.6,484.0,9.0,15781.0,2025-01-22,High,Easy,Low footfall,13.0,18675.0,18675.0,3500.0,38.0,35.51,88.5,23.38,60.0,44.04,72.0,100,30,4.0,96.0,50.8,Moderate Potential,"Grocery Stores, Pharmacies, Education Centers",14.8,48.1
AREA_044,Sector 9,Patiala,Urban,Commercial,146293.0,47.0,31.0,,4,7,,6.0,261.0,114.0,High,4.0,5,4.0,128.0,1085.6,37634.0,Declining,6634.0,,Stable,3.5,,,32863.0,2025-01-19,High,Easy,High rent,,37634.0,37634.0,6634.0,,,318.0,84.02,86.67,83.48,70.0,20,30,11.32,88.68,,Low Potential,"Essential Services, Kirana, Mobile Recharge",11.92,
AREA_045,Sector 12,Zirakpur,Semi-Urban,Mixed,146569.0,20.0,8.0,9.0,2,3,0.0,3.0,114.0,70.0,Medium,4.0,4,3.0,35.0,1266.0,19592.0,Declining,3801.0,11755.0,Rising,3.6,2069.0,8.0,26316.0,2025-01-17,Low,Difficult,High rent,0.0,19592.0,19592.0,3801.0,37.0,34.58,149.0,39.37,73.33,47.83,72.0,20,100,13.04,86.96000000000001,50.94,Moderate Potential,"Grocery Stores, Pharmacies, Education Centers",17.13,49.7
AREA_046,Sector 14,Amritsar,Semi-Urban,Mixed,142414.0,21.0,8.0,6.0,1,4,2.0,3.0,83.0,25.0,Medium,3.0,3,3.0,46.0,1018.0,17315.0,Declining,4312.0,10389.0,Rising,4.0,159.0,8.0,22273.0,2025-01-23,Medium,Easy,High rent,10.0,17315.0,17315.0,4312.0,35.0,32.71,95.5,25.23,60.0,54.26,80.0,20,60,12.5,87.5,43.59,Moderate Potential,"Grocery Stores, Pharmacies, Education Centers",20.75,47.86
AREA_047,Sector 20,Patiala,Rural,Mixed,148996.0,10.0,6.0,2.0,5,5,0.0,1.0,30.0,9.0,Low,3.0,2,2.0,15.0,1229.0,8541.0,Declining,2933.0,5124.0,Rising,4.7,785.0,6.0,8738.0,2025-01-14,High,Easy,High rent,0.0,8541.0,8541.0,2933.0,18.0,16.82,34.5,9.11,46.67,36.91,94.0,20,30,9.09,90.91,31.83,Low Potential,"Essential Services, Kirana, Mobile Recharge",22.36,33.86
AREA_048,Mansa Devi Complex,Amritsar,Semi-Urban,Commercial,142884.0,24.0,14.0,9.0,2,5,3.0,3.0,91.0,30.0,Medium,4.0,4,2.0,40.0,1486.0,13532.0,Growing,4941.0,8119.0,Falling,3.8,1238.0,14.0,25716.0,2025-01-17,Low,Easy,Poor infrastructure,9.0,13532.0,13532.0,4941.0,47.0,43.93,106.0,28.01,66.67,62.17,76.0,100,100,11.11,88.89,63.89,Moderate Potential,"Retail Chains, Quick Service Restaurants, Banks",17.78,63.2
